CLM	CH	Clonal	Edad	Arbol	Nb	Ht	Dn	Htmax	P	Pf	Ph
449	1	No           	1.5958	1	6	10	33	500	29	13	16
449	1	No           	1.5958	1	5.5	100	38	550	43	21	22
449	1	No           	1.5958	2	4	90	62	570	36	19	17
449	1	No           	1.5958	2	4	10	26	445	19	11	8
449	1	No           	1.5958	3	4	80	38	510	29	16	13
449	1	No           	1.5958	4	5	50	41	480	32	15	17
449	1	No           	1.5958	4	4	5	33	460	23	9	14
449	1	No           	1.5958	5	5	10	34	475	24	12	12
449	1	No           	1.5958	5	4	60	44	490	35	18	17
449	1	No           	1.5958	6	5	70	52	580	46	25	21
449	1	No           	1.5958	6	4	10	30	460	21	12	9
497	1	Sí           	1.71	1	3	20	40	552	21	0	21
497	1	Sí           	1.71	2	3.5	15	56	669	49	0	49
497	1	Sí           	1.71	3	3.5	15	52	633	37	0	37
497	1	Sí           	1.71	4	9	10	54	706	82	0	82
481	3	No           	1.79	1	8	40	86	822	167	0	167
481	3	No           	1.79	2	9	40	62	874	131	0	131
481	3	No           	1.79	3	8	40	60	757	106	0	106
481	3	No           	1.79	4	5	10	45	661	38	0	38
327	1	Sí           	1.82	1	3	10	60	840	66	38	28
327	1	Sí           	1.82	2	4	20	57	890	79	48	31
327	1	Sí           	1.82	3	4	15	63	900	71	46	25
327	1	Sí           	1.82	4	3.5	20	68	850	74	45	29
425	1	Sí           	1.868493151	1	4	9	69	725	72	36	36
425	1	Sí           	1.868493151	2	2.5	12	59	590	44	17	27
425	1	Sí           	1.868493151	4	2.5	8	72	710	81	43	38
425	1	Sí           	1.868493151	1	2	15	88	830	86	47	39
425	1	Sí           	1.868493151	2	3.5	18	96	810	89	43	46
425	1	Sí           	1.868493151	3	2.5	14	83	758	74	36	38
425	1	Sí           	1.868493151	4	2	9	65	655	34	21	13
457	1	No           	2.1876	1	4	10	47	665	43	22	21
457	1	No           	2.1876	1	3.5	50	63	655	51	31	20
457	1	No           	2.1876	2	4	10	45	635	32	16	16
457	1	No           	2.1876	2	3	50	70	730	70	39	31
457	1	No           	2.1876	3	4	50	57	710	66	38	28
457	1	No           	2.1876	3	3.5	20	63	760	57	33	24
457	1	No           	2.1876	4	3.5	50	62	640	55	32	23
457	1	No           	2.1876	4	3	15	40	620	33	19	14
457	1	No           	2.1876	5	4.5	50	69	750	78	44	34
457	1	No           	2.1876	5	4	15	65	790	64	38	26
485	1	No           	2.23	1	4	50	60	725	54	33	21
485	1	Sí           	2.23	1	2.5	50	50	630	29	18	11
485	1	Sí           	2.23	2	2	50	60	710	36	21	15
485	1	No           	2.23	2	2	50	76	860	52	31	21
485	1	No           	2.23	3	3.5	50	49	730	40	21	19
485	1	Sí           	2.23	3	3	5	54	740	40	24	16
367	1	Sí           	2.57	1	3	70	64	725	59	0	59
367	1	Sí           	2.57	2	8	50	64	790	100	0	100
367	1	Sí           	2.57	3	6.5	50	68	885	102	0	102
367	1	Sí           	2.57	4	5.5	10	57	810	85	0	85
367	1	Sí           	2.57	5	4	10	58	775	50	0	50
367	1	Sí           	2.57	6	4	50	55	735	43	0	43
367	1	Sí           	2.57	7	5	50	70	758	67	0	67
367	1	Sí           	2.57	8	5	50	55	820	89	0	89
367	1	Sí           	2.57	9	5	10	58	795	92	0	92
461	1	Sí           	2.59	1	5.5	50	53	796	74	41	33
461	1	Sí           	2.59	2	5	50	64	864	109	0	109
461	1	Sí           	2.59	2	4	50	71	800	73	41	32
461	1	Sí           	2.59	3	4	50	49	730	70	0	70
461	1	Sí           	2.59	3	3	50	73	748	56	30	26
461	1	Sí           	2.59	4	3	50	73	760	80	40	40
367	1	Sí           	2.6	1	4	50	32	540	28	13	15
367	1	Sí           	2.6	1	4	80	75	891	116	63	53
367	1	Sí           	2.6	2	4	70	42	610	36	19	17
367	1	Sí           	2.6	2	2	90	96	774	96	47	49
367	1	Sí           	2.6	3	2	50	38	323	17	8	9
367	1	Sí           	2.6	3	2	70	71	745	55	27	28
367	1	Sí           	2.6	4	4	50	41	580	31	17	14
367	1	Sí           	2.6	4	2	60	71	703	58	33	25
367	1	Sí           	2.6	5	3	50	40	562	24	14	10
367	1	Sí           	2.6	5	2	80	75	682	38	20	18
367	1	Sí           	2.6	6	3	50	31	482	20	7	13
367	1	Sí           	2.6	6	2	70	61	750	65	36	29
367	1	Sí           	2.61	1	5	32	64	837	85	52	33
367	1	Sí           	2.61	2	4	20	72	810	85	49	36
367	1	Sí           	2.61	3	3	15	56	715	49	29	20
367	1	Sí           	2.61	4	3.5	18	66	835	69	38	31
367	1	Sí           	2.61	5	4	19	68	880	80	48	32
367	1	Sí           	2.61	6	2	21	43	690	35	22	13
343	1	Sí           	2.778082192	3	2	12	78	895	59	37	22
343	1	Sí           	2.778082192	4	3	14	65	905	89	55	34
310	1	No           	2.79	1	3	10	46	690	34	20	14
310	1	No           	2.79	2	2	12	53	630	35	20	15
310	1	No           	2.79	3	2	5	66	680	33	20	13
310	1	No           	2.79	4	3	10	66	710	47	27	20
310	1	No           	2.79	5	3	12	59	690	41	25	16
310	1	No           	2.79	6	2	10	68	720	52	31	21
383	2	No           	2.79	2	6.5	40	59	800	84	0	84
383	2	No           	2.79	3	8.5	40	60	906	165	0	165
383	2	No           	2.79	4	10.5	50	70	810	159	0	159
464	1	No           	2.920547945	1	7	50	72	890	119	68	51
464	1	No           	2.920547945	2	5.5	50	48	710	54	32	22
464	1	No           	2.920547945	3	4.5	50	48	665	46	28	18
