logdn	loght	plot
5.023880521	5.379897354	995
4.836281907	5.313205979	995
5.141663557	5.402677382	995
5.003946306	5.370638028	995
5.017279837	5.407171771	995
5.056245805	5.429345629	995
5.068904202	5.398162702	995
4.787491743	5.241747015	995
4.96284463	5.375278408	995
5.049856007	5.375278408	995
4.543294782	5.003946306	995
5.062595033	5.398162702	995
4.997212274	5.375278408	995
5.030437921	5.411646052	995
4.727387819	5.159055299	995
4.934473933	5.407171771	995
5.075173815	5.375278408	995
4.700480366	5.030437921	995
4.718498871	4.890349128	995
4.934473933	5.257495372	995
4.919980926	5.318119994	995
4.983606622	5.411646052	995
4.682131227	5.18178355	995
4.912654886	5.347107531	995
5.017279837	5.411646052	995
4.890349128	5.424950017	995
5.220355825	5.38907173	995
5.043425117	5.365976015	995
5.093750201	5.402677382	995
4.852030264	5.257495372	995
4.736198448	5.220355825	995
5.081404365	5.347107531	995
4.990432587	5.356586275	995
4.882801923	5.361292166	995
5.036952602	5.398162702	995
4.852030264	5.361292166	995
4.912654886	5.214935758	995
4.812184355	5.192956851	995
4.795790546	5.220355825	995
5.225746674	5.463831805	995
4.8978398	5.33753808	995
4.9698133	5.433722004	995
5.062595033	5.420534999	995
4.919980926	5.323009979	995
5.023880521	5.393627546	995
4.882801923	5.33753808	995
4.990432587	5.283203729	995
4.919980926	5.241747015	995
4.718498871	5.062595033	995
5.198497031	5.442417711	995
4.770684624	5.204006687	995
5.062595033	5.411646052	995
5.18178355	5.424950017	995
5.153291594	5.402677382	995
4.955827058	5.347107531	995
5.043425117	5.411646052	999
5.010635294	5.38907173	999
5.010635294	5.442417711	999
4.727387819	5.370638028	999
5.017279837	5.438079309	999
4.820281566	5.420534999	999
5.062595033	5.398162702	999
4.844187086	5.393627546	999
4.96284463	5.323009979	999
4.941642423	5.411646052	999
5.164785974	5.411646052	999
4.912654886	5.398162702	999
4.990432587	5.446737372	999
4.94875989	5.438079309	999
4.795790546	5.379897354	999
4.828313737	5.365976015	999
4.691347882	5.375278408	999
4.828313737	5.420534999	999
4.990432587	5.379897354	999
4.418840608	5.129898715	999
4.727387819	5.236441963	999
4.127134385	4.927253685	999
4.787491743	5.33753808	999
4.912654886	5.351858133	999
4.96284463	5.402677382	999
4.753590191	5.33753808	999
5.170483995	5.451038454	999
4.905274778	5.446737372	999
4.941642423	5.442417711	999
4.234106505	5.010635294	999
4.844187086	5.379897354	999
4.634728988	5.141663557	999
4.709530201	5.247024072	999
4.553876892	5.204006687	999
4.248495242	4.976733742	999
4.564348191	5.023880521	999
4.875197323	5.298317367	999
4.584967479	5.241747015	999
4.8978398	5.351858133	999
5.023880521	5.446737372	999
5.252273428	5.459585514	999
4.882801923	5.402677382	999
5.030437921	5.424950017	999
4.927253685	5.365976015	999
4.574710979	5.272999559	999
4.890349128	5.356586275	999
4.804021045	5.384495063	999
4.94875989	5.327876169	999
4.584967479	5.214935758	999
4.86753445	5.356586275	999
5.023880521	5.384495063	999
5.062595033	5.411646052	999
4.955827058	5.384495063	999
4.700480366	5.298317367	999
4.605170186	5.365976015	999
4.875197323	5.384495063	999
4.682131227	5.33753808	999
4.605170186	5.236441963	999
4.812184355	5.347107531	999
4.820281566	5.332718793	999
4.804021045	5.313205979	999
4.9698133	5.323009979	999
4.997212274	5.356586275	999
5.153291594	5.402677382	999
5.141663557	5.446737372	999
5.030437921	5.402677382	999
5.049856007	5.402677382	999
5.003946306	5.384495063	999
4.59511985	5.267858159	999
4.828313737	5.332718793	999
4.875197323	5.347107531	999
5.111987788	5.347107531	999
4.828313737	5.272999559	999
4.912654886	5.241747015	999
4.804021045	5.164785974	999
4.795790546	5.231108617	999
4.882801923	5.283203729	999
5.129898715	5.411646052	999
4.804021045	5.332718793	999
4.927253685	5.398162702	999
5.043425117	5.416100402	999
5.017279837	5.411646052	999
5.017279837	5.370638028	999
5.135798437	5.393627546	999
4.672828834	5.209486153	999
5.153291594	5.365976015	999
4.859812404	5.356586275	999
5.075173815	5.402677382	999
5.525452939	5.700443573	997
4.919980926	5.38907173	997
5.187385806	5.552959585	997
5.552959585	5.673323267	997
5.509388337	5.730099783	997
5.247024072	5.579729826	997
5.480638923	5.693732139	997
4.574710979	5.147494477	997
4.521788577	5.099866428	997
5.564520407	5.66296048	997
5.262690189	5.609471795	997
5.323009979	5.624017506	997
5.459585514	5.703782475	997
5.446737372	5.686975356	997
5.446737372	5.676753802	997
5.111987788	5.505331536	997
5.459585514	5.666426688	997
5.480638923	5.66296048	997
5.472270674	5.645446898	997
5.420534999	5.634789603	997
5.488937726	5.579729826	997
4.605170186	5.123963979	997
5.327876169	5.583496309	997
5.393627546	5.579729826	997
4.691347882	5.209486153	997
4.605170186	5.225746674	997
5.541263545	5.669880923	997
5.602118821	5.616771098	997
4.543294782	5.117993812	997
4.204692619	4.976733742	997
4.700480366	5.225746674	997
4.727387819	5.283203729	997
4.077537444	4.442651256	997
5.497168225	5.583496309	997
5.429345629	5.587248658	997
4.605170186	5.159055299	997
4.48863637	5.049856007	997
5.365976015	5.587248658	997
5.433722004	5.598421959	997
4.060443011	4.584967479	997
5.141663557	5.420534999	998
5.18178355	5.424950017	998
5.043425117	5.375278408	998
4.65396035	5.159055299	998
4.955827058	5.342334252	998
4.905274778	5.375278408	998
4.077537444	4.828313737	998
5.247024072	5.480638923	998
5.332718793	5.517452896	998
5.283203729	5.509388337	998
5.375278408	5.521460918	998
5.308267697	5.521460918	998
5.327876169	5.497168225	998
5.347107531	5.533389489	998
5.332718793	5.529429088	998
5.241747015	5.537334267	998
5.236441963	5.505331536	998
4.94875989	5.361292166	998
4.976733742	5.356586275	998
5.123963979	5.429345629	998
5.135798437	5.384495063	998
5.342334252	5.480638923	998
5.049856007	5.488937726	998
5.298317367	5.529429088	998
5.476463552	5.564520407	998
5.416100402	5.549076085	998
5.38907173	5.545177444	998
5.356586275	5.537334267	998
4.927253685	5.416100402	998
5.342334252	5.529429088	998
5.262690189	5.517452896	998
5.375278408	5.533389489	998
5.135798437	5.484796933	998
5.278114659	5.545177444	998
5.446737372	5.541263545	998
5.459585514	5.560681631	998
5.549076085	5.59471138	998
4.043051268	4.584967479	998
5.323009979	5.517452896	998
5.402677382	5.564520407	998
5.370638028	5.560681631	998
4.369447852	4.709530201	998
