COMARCA,NC,HD,AB,VSC
COSTA,683.33,16.82,8.00,41.85
COSTA,800.00,16.15,6.35,30.75
COSTA,650.00,18.48,9.33,53.77
COSTA,750.00,16.70,9.23,49.64
COSTA,983.33,18.40,10.96,60.59
COSTA,683.33,16.27,9.81,49.24
COSTA,850.00,15.67,8.85,41.10
COSTA,666.67,18.73,11.93,69.16
COSTA,783.33,16.63,11.83,63.80
COSTA,750.00,15.83,11.26,55.82
COSTA,500.00,18.62,8.60,47.30
COSTA,66.67,7.53,1.11,4.81
COSTA,983.33,18.23,13.85,76.90
COSTA,866.67,13.72,8.26,34.46
COSTA,950.00,14.47,10.53,47.46
COSTA,933.33,14.57,10.47,46.94
SIERRA,683.33,15.88,7.53,36.02
SIERRA,766.67,17.15,8.70,44.96
SIERRA,616.67,20.23,10.10,61.55
SIERRA,633.33,14.63,6.85,30.60
SIERRA,666.67,13.77,6.78,28.71
SIERRA,550.00,12.30,3.45,12.25
SIERRA,783.33,13.83,5.63,23.99
SIERRA,716.67,16.50,7.51,39.34
COSTA,266.67,17.32,6.27,35.04
COSTA,666.67,18.65,12.64,71.37
COSTA,633.33,15.50,9.92,46.81
COSTA,866.67,17.52,14.93,83.51
COSTA,716.67,15.93,12.49,63.56
COSTA,1033.33,18.12,16.04,90.74
COSTA,483.33,17.67,11.68,67.15
COSTA,800.00,18.20,13.68,77.41
COSTA,533.33,16.77,9.43,49.52
COSTA,866.67,16.40,10.34,49.55
COSTA,366.67,16.12,8.21,42.91
COSTA,883.33,15.10,10.43,46.67
COSTA,783.33,17.53,14.95,86.53
COSTA,916.67,16.67,12.70,66.51
COSTA,516.67,14.82,6.48,30.21
COSTA,733.33,16.77,11.62,58.00
COSTA,950.00,16.02,13.04,63.88
COSTA,866.67,21.18,22.06,149.99
COSTA,383.33,17.32,7.32,39.01
COSTA,433.33,16.07,7.38,38.12
SIERRA,266.67,13.73,4.33,19.24
SIERRA,566.67,11.03,5.26,18.37
SIERRA,533.33,13.73,8.09,35.43
